id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
640146,200000000,"['Action', 'Aventure', 'Science-Fiction']",en,12579.923,2023-02-15,473237851,124,6.512,1776
502356,100000000,"['Animation', 'Aventure', 'Familial', 'Fantastique', 'Comédie']",en,10478.582,2023-04-05,876438061,92,7.511,1362
594767,125000000,"['Action', 'Comédie', 'Fantastique']",en,5900.902,2023-03-15,132128334,130,6.858,1158
76600,350000000,"['Science-Fiction', 'Aventure', 'Action']",en,4708.27,2022-12-14,2312335665,192,7.721,7481
677179,75000000,"['Drame', 'Action']",en,3850.189,2023-03-01,269000000,116,7.286,1169
713704,12000000,"['Horreur', 'Thriller']",en,2703.373,2023-04-12,40300000,96,7.0,161
638974,0,"['Comédie', 'Mystère', 'Action']",en,2666.018,2023-03-28,0,89,6.554,848
948713,0,"['Action', 'Aventure', 'Histoire', 'Drame', 'Guerre']",en,2378.19,2023-04-14,0,120,7.462,209
1008005,0,['Horreur'],es,2005.465,2023-02-10,0,99,6.3,53
315162,90000000,"['Animation', 'Familial', 'Fantastique', 'Aventure', 'Comédie']",en,1839.635,2022-12-07,480000000,102,8.298,5311
700391,45000000,"['Science-Fiction', 'Aventure', 'Thriller', 'Action']",en,1781.01,2023-03-02,55000000,93,6.32,721
603692,90000000,"['Action', 'Thriller', 'Crime']",en,1719.387,2023-03-22,358712705,169,7.99,1183
946310,0,"['Familial', 'Action', 'Aventure']",nl,1681.202,2022-04-20,0,89,6.25,18
804150,35000000,"['Thriller', 'Comédie', 'Crime']",en,1550.551,2023-02-22,80000000,95,6.428,859
758323,18000000,"['Horreur', 'Thriller']",en,1500.739,2023-04-05,52000000,103,6.563,135
1104040,0,['Crime'],en,1496.051,2023-04-07,0,0,5.763,19
849869,0,"['Action', 'Crime', 'Thriller']",ko,1388.654,2023-02-17,0,137,6.763,173
842945,0,['Action'],en,1363.56,2023-03-17,0,100,6.339,118
736790,0,"['Aventure', 'Fantastique', 'Familial']",en,1343.248,2023-04-07,0,95,6.52,178
1033219,0,"['Action', 'Science-Fiction']",en,1265.669,2022-09-30,0,93,6.139,104
816904,12300000,"['Animation', 'Comédie', 'Familial', 'Aventure', 'Fantastique']",es,1185.553,2023-01-05,34200000,88,7.114,210
505642,250000000,"['Action', 'Aventure', 'Science-Fiction']",en,1030.964,2022-11-09,859102154,161,7.283,4628
980078,100000,"['Horreur', 'Thriller']",en,986.088,2023-01-27,3200000,84,5.78,506
436270,200000000,"['Action', 'Aventure', 'Science-Fiction', 'Fantastique']",en,945.8,2022-10-19,393252111,125,7.107,4771
296271,0,"['Horreur', 'Thriller']",en,920.357,2023-01-13,0,111,6.297,128
1023313,0,['Horreur'],es,866.906,2022-11-02,0,101,5.754,69
1084225,0,"['Action', 'Drame', 'Horreur', 'Science-Fiction', 'Thriller']",en,866.795,2023-03-02,0,80,5.8,36
646389,25000000,"['Action', 'Aventure', 'Thriller']",en,833.183,2023-01-12,51000000,107,6.869,1131
1076605,0,['Thriller'],es,824.429,2023-01-19,0,72,6.0,17
943822,0,"['Drame', 'Histoire']",en,817.357,2022-06-30,0,107,6.158,117
1073413,0,"['Comédie', 'Horreur', 'Thriller']",es,770.662,2023-04-14,0,96,5.706,51
631842,20000000,"['Horreur', 'Mystère', 'Thriller']",en,752.685,2023-02-01,52000000,100,6.4,1327
676841,0,"['Comédie', 'Romance']",es,733.429,2023-01-26,0,90,6.948,106
676710,17000000,"['Animation', 'Aventure', 'Comédie', 'Familial', 'Fantastique']",en,729.298,2022-12-16,3901839,93,6.966,59
984105,0,['Horreur'],en,716.085,2023-01-02,0,85,6.2,6
536554,12000000,"['Science-Fiction', 'Horreur', 'Comédie']",en,693.536,2022-12-28,167643991,102,7.376,2412
964426,0,"['Guerre', 'Action', 'Aventure', 'Thriller']",no,663.608,2022-12-15,0,117,6.625,24
