id,budget,genres,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count
640146,200000000,"['Action', 'Aventure', 'Science-Fiction']",en,9272.643,2023-02-15,473237851,124,6.524,1878
502356,100000000,"['Animation', 'Aventure', 'Familial', 'Fantastique', 'Comédie']",en,7212.464,2023-04-05,891438061,92,7.509,1439
594767,125000000,"['Action', 'Comédie', 'Fantastique']",en,4319.273,2023-03-15,132128334,130,6.841,1211
76600,350000000,"['Science-Fiction', 'Aventure', 'Action']",en,3471.132,2022-12-14,2312335665,192,7.72,7528
948713,0,"['Action', 'Aventure', 'Histoire', 'Drame', 'Guerre']",en,3162.414,2023-04-14,0,120,7.389,230
677179,75000000,"['Drame', 'Action']",en,2865.256,2023-03-01,269000000,116,7.283,1189
713704,12000000,"['Horreur', 'Thriller']",en,1898.367,2023-04-12,40300000,96,7.0,197
638974,0,"['Comédie', 'Mystère', 'Action']",en,1855.858,2023-03-28,0,89,6.559,860
315162,90000000,"['Animation', 'Familial', 'Fantastique', 'Aventure', 'Comédie', 'Drame']",en,1407.152,2022-12-07,480000000,102,8.298,5328
603692,90000000,"['Action', 'Thriller', 'Crime']",en,1312.743,2023-03-22,362712705,169,7.973,1204
1048300,0,['Action'],en,1269.765,2022-12-15,0,0,4.0,4
804150,35000000,"['Thriller', 'Comédie', 'Crime']",en,1223.954,2023-02-22,80000000,95,6.409,874
1008005,0,['Horreur'],es,1191.393,2023-02-10,0,99,6.3,55
700391,45000000,"['Science-Fiction', 'Aventure', 'Thriller', 'Action']",en,1189.997,2023-03-02,55000000,93,6.336,755
946310,0,"['Familial', 'Action', 'Aventure']",nl,1145.777,2022-04-20,0,89,6.386,22
1104040,0,['Crime'],en,1133.317,2023-04-07,0,0,5.643,21
758323,18000000,"['Horreur', 'Thriller']",en,1103.242,2023-04-05,52000000,103,6.5,142
842945,0,['Action'],en,962.106,2023-03-17,0,100,6.423,123
849869,0,"['Action', 'Crime', 'Thriller']",ko,956.601,2023-02-17,0,137,6.8,184
1033219,0,"['Action', 'Science-Fiction']",en,875.796,2022-09-30,0,93,6.09,105
736790,0,"['Aventure', 'Fantastique', 'Familial']",en,866.916,2023-04-07,0,95,6.533,183
505642,250000000,"['Action', 'Aventure', 'Science-Fiction']",en,805.273,2022-11-09,859102154,161,7.282,4635
816904,12300000,"['Animation', 'Comédie', 'Familial', 'Aventure', 'Fantastique']",es,793.661,2023-01-05,34200000,88,7.124,217
1084225,0,"['Action', 'Drame', 'Horreur', 'Science-Fiction', 'Thriller']",en,746.869,2023-03-02,0,80,5.8,36
980078,100000,"['Horreur', 'Thriller']",en,732.013,2023-01-27,3200000,84,5.754,515
536554,12000000,"['Science-Fiction', 'Horreur', 'Comédie']",en,724.995,2022-12-28,167643991,102,7.367,2425
436270,200000000,"['Action', 'Aventure', 'Science-Fiction', 'Fantastique']",en,697.417,2022-10-19,393252111,125,7.108,4783
869626,0,"['Animation', 'Comédie', 'Familial', 'Drame', 'Aventure']",en,688.452,2022-06-24,6000000,78,7.8,247
296271,0,"['Horreur', 'Thriller']",en,651.537,2023-01-13,0,111,6.295,129
943822,0,"['Drame', 'Histoire']",en,647.576,2022-06-30,0,107,6.2,118
646389,25000000,"['Action', 'Aventure', 'Thriller']",en,626.566,2023-01-12,51000000,107,6.871,1139
868759,0,"['Romance', 'Action', 'Comédie']",en,619.83,2023-04-21,0,120,7.323,355
934433,35000000,"['Horreur', 'Mystère', 'Thriller']",en,609.941,2023-03-08,168541093,123,7.371,680
1023313,0,['Horreur'],es,571.504,2022-11-02,0,101,5.814,70
631842,20000000,"['Horreur', 'Mystère', 'Thriller']",en,545.218,2023-02-01,52000000,100,6.4,1337
676710,17000000,"['Animation', 'Aventure', 'Comédie', 'Familial', 'Fantastique']",en,531.695,2022-12-16,3901839,93,7.017,60
1076605,0,['Thriller'],es,524.413,2023-01-19,0,72,6.0,17
385687,340000000,"['Action', 'Crime', 'Thriller']",en,501.515,2023-05-17,0,141,0.0,0
676841,0,"['Comédie', 'Romance']",es,501.286,2023-01-26,0,90,6.946,111
984105,0,['Horreur'],en,489.05,2023-01-02,0,85,6.2,6
758009,0,"['Action', 'Comédie', 'Romance']",en,485.216,2022-12-28,4495365,100,6.31,775
850871,0,"['Thriller', 'Action']",es,469.295,2023-03-03,0,94,6.14,75
1073413,0,"['Comédie', 'Horreur', 'Thriller']",es,463.676,2023-04-14,0,96,5.92,56
1003579,0,"['Animation', 'Fantastique', 'Horreur', 'Action', 'Mystère']",en,417.877,2023-03-10,0,90,6.506,77
876792,0,"['Animation', 'Fantastique', 'Aventure']",ja,415.178,2022-11-25,11426555,108,7.613,159
1101799,0,"['Comédie', 'Action']",es,412.073,2023-04-14,0,96,7.19,58
1011679,10000,"['Action', 'Science-Fiction', 'Thriller', 'Horreur']",en,410.839,2022-08-12,0,88,5.3,118
964426,0,"['Guerre', 'Action', 'Aventure', 'Thriller']",no,404.951,2022-12-15,0,117,6.625,24
840326,6200000,"['Guerre', 'Action']",fi,401.715,2023-01-27,0,91,6.9,16
985939,3000000,['Thriller'],en,397.903,2022-08-11,16120263,107,7.285,2763
1087040,0,['Documentaire'],en,389.444,2023-03-15,0,95,5.739,178
842544,0,"['Crime', 'Thriller', 'Drame']",en,381.923,2023-01-05,0,101,6.33,155
1077280,0,"['Action', 'Comédie', 'Thriller']",en,380.044,2023-02-22,0,85,6.138,260
109428,17000000,['Horreur'],en,376.288,2013-04-05,97542952,90,6.495,4009
646385,24000000,"['Horreur', 'Mystère', 'Thriller']",en,373.035,2022-01-12,140041405,114,6.7,2342
736526,0,"['Fantastique', 'Action', 'Aventure', 'Thriller']",no,368.848,2022-12-01,0,104,6.745,1351
676547,0,"['Horreur', 'Thriller']",en,357.692,2022-10-23,37655699,93,7.1,630
730629,0,"['Action', 'Crime', 'Thriller']",en,348.842,,0,0,0.0,0
957752,0,['Comédie'],fr,343.051,2023-01-20,0,105,4.75,66
776835,0,"['Animation', 'Aventure', 'Familial', 'Fantastique']",en,341.395,2023-03-10,0,99,7.231,106
1072074,0,"['Thriller', 'Horreur', 'Mystère']",en,341.334,2023-02-10,0,85,6.524,21
843794,0,['Science-Fiction'],ko,339.239,2023-01-20,0,98,6.262,435
1026563,0,"['Drame', 'Horreur']",es,335.493,2022-11-04,1891519,100,5.516,61
1105014,0,['Horreur'],en,333.69,2023-04-03,0,85,4.0,6
361743,170000000,"['Action', 'Drame']",en,333.015,2022-05-24,1488732821,130,8.291,6684
1071806,0,"['Drame', 'Thriller']",th,328.819,2023-04-04,0,145,7.703,148
993621,90,"['Thriller', 'Mystère']",en,326.734,2022-08-26,0,90,6.109,23
634649,200000000,"['Action', 'Aventure', 'Science-Fiction']",en,320.221,2021-12-15,1921847111,148,8.009,17236
884184,0,"['Horreur', 'Thriller']",en,313.158,2023-02-09,0,90,6.5,31
916224,0,"['Animation', 'Drame', 'Aventure', 'Fantastique']",ja,310.407,2022-11-11,300365948,121,7.958,191
983768,0,"['Action', 'Thriller']",en,309.364,2023-01-09,0,94,5.6,18
966220,1000000,"['Guerre', 'Drame']",uk,308.73,2022-05-03,0,120,7.573,361
1104191,0,['Horreur'],es,306.922,2022-10-13,0,0,6.2,4
988165,0,['Horreur'],en,306.543,2022-06-29,0,82,5.8,12
616037,250000000,"['Fantastique', 'Action', 'Comédie']",en,303.68,2022-07-06,760928081,118,6.592,5826
728754,0,"['Animation', 'Familial', 'Science-Fiction']",ja,297.707,2020-11-20,0,96,7.723,137
324552,40000000,"['Action', 'Thriller', 'Crime']",en,294.191,2017-02-08,171539887,122,7.312,11396
1041513,0,['Musique'],en,292.884,2022-12-28,0,45,7.129,128
668482,25000000,"['Familial', 'Comédie', 'Fantastique']",en,292.166,2022-11-25,13276499,117,6.811,560
820232,0,"['Action', 'Animation', 'Fantastique']",ja,289.474,2019-03-29,0,105,7.958,84
675353,110000000,"['Action', 'Aventure', 'Familial', 'Comédie']",en,286.599,2022-04-08,402656846,124,7.595,3871
1003580,0,"['Animation', 'Action', 'Science-Fiction']",en,286.518,2023-02-07,0,84,6.288,85
507086,165000000,"['Aventure', 'Action', 'Science-Fiction']",en,284.644,2022-06-01,1001978080,146,6.9,4728
1058949,0,"['Thriller', 'Action', 'Drame', 'Crime']",en,284.271,2023-02-03,0,105,6.0,95
635302,15800000,"['Animation', 'Action', 'Aventure', 'Fantastique', 'Thriller']",ja,283.619,2020-10-16,503063688,117,8.25,3059
842942,0,"['Crime', 'Drame', 'Thriller']",en,278.716,2022-09-23,0,126,6.157,150
813726,0,"['Romance', 'Comédie', 'Aventure']",en,275.635,2023-04-21,0,96,6.603,39
947938,0,"['Animation', 'Aventure', 'Fantastique', 'Comédie']",ru,274.428,2022-04-07,0,90,6.574,54
875104,0,"['Action', 'Aventure', 'Histoire', 'Drame']",zh,273.693,2023-03-24,0,80,5.5,2
493529,151000000,"['Aventure', 'Fantastique', 'Comédie']",en,270.199,2023-03-23,178087411,134,7.425,523
453395,200000001,"['Fantastique', 'Action', 'Aventure']",en,266.886,2022-05-04,955775804,126,7.383,7321
800301,0,"['Romance', 'Comédie']",en,266.745,2023-01-26,0,108,6.488,43
1058732,0,"['Animation', 'Familial', 'Comédie']",en,264.839,2022-12-15,0,4,5.2,35
455476,0,"['Fantastique', 'Action', 'Aventure']",en,259.879,2023-04-27,0,112,7.286,7
49046,20000000,"['Drame', 'Guerre', 'Histoire']",de,259.585,2022-10-07,0,148,7.763,2573
411,180000000,"['Aventure', 'Familial', 'Fantastique']",en,258.956,2005-12-07,745013115,140,7.118,9483
767401,0,['Comédie'],en,253.381,2022-07-15,0,100,5.273,22
988233,0,"['Action', 'Horreur', 'Thriller']",en,253.299,2022-11-01,0,88,6.063,64
724495,50000000,"['Action', 'Drame', 'Histoire']",en,253.196,2022-09-16,91000000,135,7.772,1418
